"0","中达广场 复式两房 带阁楼 装修保养好","天河","珠江新城中","中达广场","3室1厅","60","中楼层(共25层)","北","12000","塔楼","2017/10/3","17","https://gz.lianjia.com/zufang/GZ0003120575.html"
"1","广弘天琪 精装三房 保养好","天河","珠江新城西","广弘天琪","3室2厅","117","低楼层(共31层)","北","11000","2009年建塔楼","2017/10/9","24","https://gz.lianjia.com/zufang/GZ0003095505.html"
"2","利雅湾 一线望江小蛮三房 少有放租户型","天河","珠江新城中","利雅湾","3室2厅","116","中楼层(共29层)","西南","13000","2004年建塔楼","2017/10/3","85","https://gz.lianjia.com/zufang/GZ0002788982.html"
"3","珠江新城 凯旋新世界 舒适三房 望公园","天河","珠江新城东","凯旋新世界枫丹丽舍","3室2厅","151","高楼层(共22层)","东北","19999","2005年建塔楼","2017/10/10","27","https://gz.lianjia.com/zufang/GZ0003027373.html"
"4","新大厦国际公寓 高品质生活的保障","天河","珠江新城西","新大厦国际公寓","4室2厅","168","高楼层(共30层)","北","10000","1998年建塔楼","2017/10/10","80","https://gz.lianjia.com/zufang/GZ0002809823.html"
"5","富力公园28 精装3房","天河","珠江新城东","富力公园28","3室2厅","151","中楼层(共48层)","西","17000","2012年建塔楼","2017/10/7","29","https://gz.lianjia.com/zufang/GZ0003067333.html"
"6","中怡城市花园 正规一房一厅 精装修","天河","天河北","中怡城市花园","1室1厅","54","低楼层(共30层)","东","5500","2002年建塔楼","2017/10/7","16","https://gz.lianjia.com/zufang/GZ0003121298.html"
"7","隽峰苑 高南向小三房 精致实用 拎包入住","天河","珠江新城中","隽峰苑","3室2厅","89","高楼层(共32层)","南","8300","2008年建塔楼","2017/9/29","59","https://gz.lianjia.com/zufang/GZ0002916585.html"
"8","骏景花园南苑 温馨舒适  采光通透","天河","棠下","骏景花园南苑骏弘轩","4室2厅","141","高楼层(共20层)","南","5800","2000年建板楼","2017/9/22","19","https://gz.lianjia.com/zufang/GZ0003003547.html"
"9","双地铁 昌乐园 三房一厅","天河","员村","昌乐园","3室2厅","65","低楼层(共6层)","南","4300","1994年建板楼","2017/10/5","10","https://gz.lianjia.com/zufang/GZ0003078857.html"
"10","精致装修 拎包居家最适宜","天河","龙口西","保利中辰广场","2室1厅","82","中楼层(共27层)","西","7000","2012年建塔楼","2017/9/22","20","https://gz.lianjia.com/zufang/GZ0003082436.html"
"11","富力天朗明居 精致两房 交通方便","天河","棠下","富力天朗明居S区","2室2厅","66","中楼层(共18层)","南","4100","2001年建塔楼","2017/9/25","21","https://gz.lianjia.com/zufang/GZ0003098970.html"
"12","星汇云锦 城建物业 恒温泳池修","天河","珠江新城西","星汇云锦","2室1厅","98","中楼层(共45层)","西北","15000","2008年建塔楼","2017/10/8","30","https://gz.lianjia.com/zufang/GZ0003117983.html"
"13","星汇园 精装两房 带主套 家私电配齐","天河","珠江新城西","星汇园C区","2室1厅","94","中楼层(共32层)","东北","7600","2002年建塔楼","2017/10/6","18","https://gz.lianjia.com/zufang/GZ0003126386.html"
"14","鸿翔大厦 家电齐","天河","天河北","鸿翔大厦","1室1厅","56","中楼层(共29层)","南","4300","2002年建塔楼","2017/10/11","16","https://gz.lianjia.com/zufang/GZ0003118305.html"
"15","中怡城市花园 精装修 温馨两房","天河","天河北","中怡城市花园","2室1厅","70","高楼层(共30层)","南","6300","2002年建塔楼","2017/10/15","18","https://gz.lianjia.com/zufang/GZ0003073356.html"
"16","鸿翔大厦 一房一厅 采光好","天河","天河北","鸿翔大厦","1室1厅","41","中楼层(共29层)","东","3600","2002年建塔楼","2017/10/8","34","https://gz.lianjia.com/zufang/GZ0003074287.html"
"17","铂林国际公寓 南向 少有放盘","天河","珠江新城西","铂林国际公寓","3室1厅","61","中楼层(共22层)","南","6500","2005年建塔楼","2017/10/10","26","https://gz.lianjia.com/zufang/GZ0003082572.html"
"18","广利路 景观好房 精装修 户型方正","天河","天河南","广利路","2室2厅","80","中楼层(共9层)","南","5000","板楼","2017/10/10","22","https://gz.lianjia.com/zufang/GZ0003085815.html"
"19","寺右公馆 新屋出租 方正两房","天河","珠江新城西","寺右公馆","2室2厅","64","中楼层(共29层)","南","6200","塔楼","2017/10/13","19","https://gz.lianjia.com/zufang/GZ0003072746.html"
